name,salary_from,salary_to,salary_currency,area_name,published_at
Механик линейный,90000,,RUR,Петрозаводск,2022-12-21T08:45:32+0300
Инженер технической поддержки розничной сети,63200,63200,RUR,Екатеринбург,2022-12-21T09:22:02+0300
Фрезеровщик,65000,75000,RUR,Екатеринбург,2022-12-21T06:59:48+0300
Инженер ОПС,130000,150000,RUR,Новый Уренгой,2022-12-21T01:10:26+0300
Механик в горнодобывающую компанию,120000,150000,RUR,Хабаровск,2022-12-21T09:33:01+0300
Электромеханик (производство),65000,,RUR,Екатеринбург,2022-12-21T08:24:20+0300
Программист,70000,,RUR,Челябинск,2022-12-21T07:46:48+0300
Руководитель отдела информационных технологий,100000,100000,RUR,Калининград,2022-12-21T09:56:59+0300
Оператор станка с ЧПУ,55000,70000,RUR,Рязань,2022-12-21T07:46:45+0300
Начинающий специалист по обслуживанию банкоматов,55000,,RUR,Лучегорск,2022-12-21T04:15:01+0300
"Mobile Flutter (iOS, Android) разработчик",130000,150000,RUR,Санкт-Петербург,2022-12-21T07:48:16+0300
Графический дизайнер,50000,70000,RUR,Москва,2022-12-21T06:09:38+0300
Бизнес-аналитик,130000,130000,RUR,Санкт-Петербург,2022-12-21T09:55:51+0300
Инженер-программист 2 категории (Волжский),20000,28000,RUR,Волжский (Волгоградская область),2022-12-21T09:12:12+0300
Дизайнер UX/UI (Senior/Middle+),150000,,RUR,Екатеринбург,2022-12-21T09:30:12+0300
Начинающий специалист по обслуживанию банкоматов,55000,,RUR,Бикин,2022-12-21T03:53:24+0300
Дизайнер UX/UI (Senior/Middle+),150000,,RUR,Казань,2022-12-21T09:30:35+0300
Аналитик-оператор (1С) контракт Ферреро,30000,30000,RUR,Омск,2022-12-21T08:01:59+0300
IT-менеджер,300000,,KZT,Алматы,2022-12-21T08:28:36+0300
Менеджер корпоративных продаж / Менеджер проектов / Менеджер по работе с клиентами,40000,,RUR,Саранск,2022-12-21T00:03:16+0300
Монтажник РЭА и приборов,,80000,RUR,Москва,2022-12-21T09:37:18+0300
Слесарь механосборочных работ,,150000,RUR,Тюмень,2022-12-21T06:37:24+0300
Инженер-программист С/С++,80000,,RUR,Санкт-Петербург,2022-12-21T08:48:53+0300
"Руководитель проекта ""Этномир""",120000,,RUR,Обнинск,2022-12-21T05:31:52+0300
Инженер/Монтажник связи,70000,80000,RUR,Хабаровск,2022-12-21T05:48:23+0300
Главный механик в транспортный цех,70000,,RUR,Петропавловск-Камчатский,2022-12-21T00:48:01+0300
Контролер технического состояния транспортных средств,54000,54000,RUR,Поварово,2022-12-21T09:26:37+0300
Помощник аналитика,30000,40000,RUR,Сургут,2022-12-21T08:10:44+0300
Консультант 1С (линия консультаций),70000,120000,RUR,Москва,2022-12-21T09:25:15+0300
Сотрудник сервисной службы,35000,85000,RUR,Тула,2022-12-21T09:05:09+0300
Специалист технической поддержки iiko (Айко),125000,,KZT,Алматы,2022-12-21T07:11:21+0300
Frontend - разработчик (Vue2),250000,300000,KZT,Алматы,2022-12-21T08:31:18+0300
Senior Java/Kotlin developer,,400000,RUR,Санкт-Петербург,2022-12-21T09:40:39+0300
Оператор листогибочного станка с ЧПУ,200000,300000,KZT,Алматы,2022-12-21T08:00:09+0300
Специалист по технической поддержке информационно-коммуникационных систем,42000,42000,RUR,Энгельс,2022-12-21T08:08:51+0300
"Механик по выпуску ТС на линию (РЦ Пятерочка, Рыбное)",42000,45000,RUR,Рязань,2022-12-21T09:15:48+0300
Специалист технической поддержки,30000,80000,RUR,Владивосток,2022-12-21T09:41:11+0300
Технический писатель,139000,,RUR,Санкт-Петербург,2022-12-21T00:50:14+0300
Наладчик ЧПУ (запуск новых станков),131000,133000,RUR,Елабуга,2022-12-21T09:32:02+0300
Токарь-универсал,80000,,RUR,Москва,2022-12-21T09:49:43+0300
Токарь-расточник,140000,200000,RUR,Москва,2022-12-21T08:23:31+0300
Сервисный специалист по обслуживанию и ремонту оборудования,60000,100000,RUR,Новосибирск,2022-12-21T07:10:33+0300
Системный администратор,70000,70000,RUR,Владивосток,2022-12-21T09:40:25+0300
Ведущий специалист сетевого оборудования,170000,,RUR,Москва,2022-12-21T09:09:38+0300
